[[DESCRIPTION]]
CPB_SE5_12_1P_2700K_200_lux_lights_off

[[ANALYSIS]]
EFF      	4.82**	%
FF        	59.5**	%
Voc      	1011.5**	mV
Jsc       	0.17**	mA/cm2
Vmax   	690.2	mV
Jmax    	0.15	mA/cm2
Isc        	1.5458E-5	A
Rsc       	1.1018E+6	Ohm
Roc      	11909	Ohm
A          	0.089	cm2
Incd. Pwr	2.171	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001017E-01	-1.553265E-05	+2.232715E+01	2PT  
-1.901241E-01	-1.544255E-05	+2.220410E+01	2PT  
-1.801383E-01	-1.544084E-05	+2.208105E+01	2PT  
-1.701526E-01	-1.547352E-05	+2.195703E+01	2PT  
-1.601670E-01	-1.545537E-05	+2.183496E+01	2PT  
-1.501505E-01	-1.547227E-05	+2.171094E+01	2PT  
-1.401670E-01	-1.551263E-05	+2.158984E+01	2PT  
-1.301645E-01	-1.543324E-05	+2.146777E+01	2PT  
-1.201632E-01	-1.541295E-05	+2.134375E+01	2PT  
-1.101685E-01	-1.545276E-05	+2.121973E+01	2PT  
-1.001250E-01	-1.548905E-05	+2.109668E+01	2PT  
-9.012088E-02	-1.546165E-05	+2.097266E+01	2PT  
-8.011066E-02	-1.543222E-05	+2.084766E+01	2PT  
-7.011101E-02	-1.546936E-05	+2.072559E+01	2PT  
-6.008500E-02	-1.546946E-05	+2.059961E+01	2PT  
-5.008129E-02	-1.552914E-05	+2.047754E+01	2PT  
-4.007113E-02	-1.545650E-05	+2.035547E+01	2PT  
-3.007091E-02	-1.548688E-05	+2.023145E+01	2PT  
-2.007728E-02	-1.551108E-05	+2.010840E+01	2PT  
-1.002699E-02	-1.548049E-05	+1.998438E+01	2PT  
+9.068887E-05	-1.545777E-05	+1.986133E+01	2PT  
+1.008578E-02	-1.546264E-05	+1.973828E+01	2PT  
+2.009916E-02	-1.547223E-05	+1.961133E+01	2PT  
+3.009509E-02	-1.551355E-05	+1.948926E+01	2PT  
+4.013612E-02	-1.548307E-05	+1.936523E+01	2PT  
+5.013542E-02	-1.550115E-05	+1.924316E+01	2PT  
+6.013514E-02	-1.557142E-05	+1.911914E+01	2PT  
+7.012785E-02	-1.555443E-05	+1.899609E+01	2PT  
+8.013919E-02	-1.550650E-05	+1.887109E+01	2PT  
+9.017649E-02	-1.549820E-05	+1.874707E+01	2PT  
+1.001696E-01	-1.553646E-05	+1.862305E+01	2PT  
+1.101837E-01	-1.561260E-05	+1.850000E+01	2PT  
