[[DESCRIPTION]]
CPB_SE5_12_1P_2700K_200_lux_lights_off_2

[[ANALYSIS]]
EFF      	4.89**	%
FF        	60.9**	%
Voc      	1052.1**	mV
Jsc       	0.17**	mA/cm2
Vmax   	750.1	mV
Jmax    	0.14	mA/cm2
Isc        	1.4737E-5	A
Rsc       	7.672E+5	Ohm
Roc      	11867	Ohm
A          	0.089	cm2
Incd. Pwr	2.171	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001079E-01	-1.465853E-05	+2.232617E+01	2PT  
-1.901276E-01	-1.470470E-05	+2.219824E+01	2PT  
-1.801357E-01	-1.466062E-05	+2.207422E+01	2PT  
-1.701541E-01	-1.468087E-05	+2.195215E+01	2PT  
-1.601681E-01	-1.475542E-05	+2.182812E+01	2PT  
-1.501513E-01	-1.465594E-05	+2.170508E+01	2PT  
-1.401604E-01	-1.464796E-05	+2.158105E+01	2PT  
-1.301687E-01	-1.466473E-05	+2.145801E+01	2PT  
-1.201721E-01	-1.467233E-05	+2.133594E+01	2PT  
-1.101678E-01	-1.471394E-05	+2.120703E+01	2PT  
-1.001322E-01	-1.468849E-05	+2.108789E+01	2PT  
-9.012906E-02	-1.466132E-05	+2.096289E+01	2PT  
-8.012366E-02	-1.475870E-05	+2.083984E+01	2PT  
-7.011259E-02	-1.466638E-05	+2.071582E+01	2PT  
-6.008250E-02	-1.473741E-05	+2.058887E+01	2PT  
-5.007882E-02	-1.473072E-05	+2.046973E+01	2PT  
-4.008432E-02	-1.473273E-05	+2.034473E+01	2PT  
-3.007509E-02	-1.466414E-05	+2.022363E+01	2PT  
-2.007227E-02	-1.468163E-05	+2.010059E+01	2PT  
-1.003367E-02	-1.466415E-05	+1.997363E+01	2PT  
+8.068857E-05	-1.473775E-05	+1.985352E+01	2PT  
+1.009162E-02	-1.468930E-05	+1.972852E+01	2PT  
+2.010008E-02	-1.467187E-05	+1.960449E+01	2PT  
+3.009591E-02	-1.471894E-05	+1.948047E+01	2PT  
+4.013769E-02	-1.476340E-05	+1.935840E+01	2PT  
+5.012848E-02	-1.480063E-05	+1.923047E+01	2PT  
+6.013047E-02	-1.470904E-05	+1.910742E+01	2PT  
