[[DESCRIPTION]]
CPB_SE5_12_1P_4000K_1000_lux_lights_off

[[ANALYSIS]]
EFF      	13.30**	%
FF        	66.9**	%
Voc      	1213.3**	mV
Jsc       	0.61**	mA/cm2
Vmax   	920.1	mV
Jmax    	0.54	mA/cm2
Isc        	5.4303E-5	A
Rsc       	72386	Ohm
Roc      	1906.7	Ohm
A          	0.089	cm2
Incd. Pwr	3.725	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001304E-01	-5.402672E-05	+2.176563E+01	2PT  
-1.901325E-01	-5.286420E-05	+2.164258E+01	2PT  
-1.800973E-01	-5.326676E-05	+2.152051E+01	2PT  
-1.701887E-01	-5.332569E-05	+2.139453E+01	2PT  
-1.601828E-01	-5.419926E-05	+2.127051E+01	2PT  
-1.501371E-01	-5.297000E-05	+2.114746E+01	2PT  
-1.401724E-01	-5.309590E-05	+2.102441E+01	2PT  
-1.301972E-01	-5.447701E-05	+2.090234E+01	2PT  
-1.201715E-01	-5.331370E-05	+2.077832E+01	2PT  
-1.101930E-01	-5.451047E-05	+2.064941E+01	2PT  
-1.001225E-01	-5.398389E-05	+2.052441E+01	2PT  
-9.015774E-02	-5.354982E-05	+2.040332E+01	2PT  
-8.015881E-02	-5.428219E-05	+2.027930E+01	2PT  
-7.008860E-02	-5.327663E-05	+2.015723E+01	2PT  
-6.001312E-02	-5.347932E-05	+2.003223E+01	2PT  
-5.011069E-02	-5.429656E-05	+1.990918E+01	2PT  
-4.006856E-02	-5.381020E-05	+1.978516E+01	2PT  
-3.007007E-02	-5.338335E-05	+1.966211E+01	2PT  
-2.010225E-02	-5.371705E-05	+1.953906E+01	2PT  
-1.002951E-02	-5.372322E-05	+1.941309E+01	2PT  
+5.402407E-05	-5.430587E-05	+1.928906E+01	2PT  
+1.012740E-02	-5.343456E-05	+1.916895E+01	2PT  
+2.009925E-02	-5.409934E-05	+1.904004E+01	2PT  
+3.009018E-02	-5.354353E-05	+1.891699E+01	2PT  
+4.015664E-02	-5.365759E-05	+1.879199E+01	2PT  
+5.007474E-02	-5.412160E-05	+1.866797E+01	2PT  
+6.012206E-02	-5.413194E-05	+1.854492E+01	2PT  
+7.009436E-02	-5.446735E-05	+1.842676E+01	2PT  
+8.009622E-02	-5.410766E-05	+1.829883E+01	2PT  
+9.017128E-02	-5.464722E-05	+1.817480E+01	2PT  
+1.001570E-01	-5.357936E-05	+1.805273E+01	2PT  
+1.101866E-01	-5.381038E-05	+1.792871E+01	2PT  
+1.201330E-01	-5.467578E-05	+1.780566E+01	2PT  
+1.301818E-01	-5.425550E-05	+1.768164E+01	2PT  
+1.402047E-01	-5.367621E-05	+1.755762E+01	2PT  
+1.501631E-01	-5.388139E-05	+1.743359E+01	2PT  
+1.601881E-01	-5.430011E-05	+1.731055E+01	2PT  
+1.701242E-01	-5.513582E-05	+1.718652E+01	2PT  
+1.801272E-01	-5.388550E-05	+1.706250E+01	2PT  
+1.901257E-01	-5.422276E-05	+1.694141E+01	2PT  
+2.001399E-01	-5.504642E-05	+1.681641E+01	2PT  
+2.100860E-01	-5.378236E-05	+1.669434E+01	2PT  
+2.200901E-01	-5.498082E-05	+1.656543E+01	2PT  
+2.301032E-01	-5.381255E-05	+1.644141E+01	2PT  
+2.401045E-01	-5.401521E-05	+1.631738E+01	2PT  
+2.500764E-01	-5.449652E-05	+1.619434E+01	2PT  
+2.600759E-01	-5.387223E-05	+1.607324E+01	2PT  
+2.700151E-01	-5.409161E-05	+1.594922E+01	2PT  
+2.800632E-01	-5.534579E-05	+1.582715E+01	2PT  
+2.901463E-01	-5.427583E-05	+1.569824E+01	2PT  
+3.000684E-01	-5.487802E-05	+1.557520E+01	2PT  
+3.100678E-01	-5.411756E-05	+1.545117E+01	2PT  
+3.201021E-01	-5.441943E-05	+1.532812E+01	2PT  
+3.300292E-01	-5.507142E-05	+1.520410E+01	2PT  
+3.401364E-01	-5.499335E-05	+1.508105E+01	2PT  
+3.501534E-01	-5.417331E-05	+1.495801E+01	2PT  
+3.601377E-01	-5.424118E-05	+1.482910E+01	2PT  
+3.701360E-01	-5.422663E-05	+1.470508E+01	2PT  
+3.801320E-01	-5.440928E-05	+1.458105E+01	2PT  
+3.901588E-01	-5.473616E-05	+1.445703E+01	2PT  
+4.001890E-01	-5.474569E-05	+1.433301E+01	2PT  
+4.101909E-01	-5.453304E-05	+1.420703E+01	2PT  
+4.201916E-01	-5.421038E-05	+1.408398E+01	2PT  
+4.302280E-01	-5.438265E-05	+1.395996E+01	2PT  
+4.401927E-01	-5.505072E-05	+1.383789E+01	2PT  
+4.501839E-01	-5.406795E-05	+1.371387E+01	2PT  
+4.601276E-01	-5.430179E-05	+1.359082E+01	2PT  
+4.700463E-01	-5.465975E-05	+1.346680E+01	2PT  
+4.801134E-01	-5.411729E-05	+1.334473E+01	2PT  
+4.901601E-01	-5.419761E-05	+1.322168E+01	2PT  
+5.001096E-01	-5.544893E-05	+1.309961E+01	2PT  
+5.100979E-01	-5.411829E-05	+1.297559E+01	2PT  
+5.201086E-01	-5.399100E-05	+1.285254E+01	2PT  
+5.300702E-01	-5.393759E-05	+1.272559E+01	2PT  
+5.400169E-01	-5.455041E-05	+1.260352E+01	2PT  
+5.500603E-01	-5.525222E-05	+1.247949E+01	2PT  
+5.600691E-01	-5.383814E-05	+1.235645E+01	2PT  
+5.700585E-01	-5.389234E-05	+1.223242E+01	2PT  
+5.800819E-01	-5.499446E-05	+1.211133E+01	2PT  
+5.901409E-01	-5.371232E-05	+1.198730E+01	2PT  
+6.001400E-01	-5.382616E-05	+1.186523E+01	2PT  
