[[DESCRIPTION]]
CPB_SE5_12_1P_A1.5G_Sun

[[ANALYSIS]]
EFF      	6.11	%
FF        	68.9	%
Voc      	1272.8	mV
Jsc       	6.96	mA/cm2
Vmax   	1010.1	mV
Jmax    	6.05	mA/cm2
Isc        	0.000620	A
Rsc       	1.3392E+5	Ohm
Roc      	226.97	Ohm
A          	0.089	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001272E-01	-6.168018E-04	+2.160840E+01	2PT  
-1.901408E-01	-6.170344E-04	+2.148145E+01	2PT  
-1.801486E-01	-6.175291E-04	+2.135645E+01	2PT  
-1.701635E-01	-6.177519E-04	+2.123242E+01	2PT  
-1.601804E-01	-6.176790E-04	+2.110840E+01	2PT  
-1.501664E-01	-6.181152E-04	+2.098438E+01	2PT  
-1.401750E-01	-6.184260E-04	+2.086133E+01	2PT  
-1.301873E-01	-6.185610E-04	+2.073437E+01	2PT  
-1.201816E-01	-6.185978E-04	+2.061035E+01	2PT  
-1.101799E-01	-6.191048E-04	+2.048730E+01	2PT  
-1.001458E-01	-6.189517E-04	+2.036328E+01	2PT  
-9.013516E-02	-6.191110E-04	+2.023438E+01	2PT  
-8.013375E-02	-6.188984E-04	+2.011133E+01	2PT  
-7.012434E-02	-6.190340E-04	+1.998730E+01	2PT  
-6.010246E-02	-6.193174E-04	+1.986230E+01	2PT  
-5.010096E-02	-6.192541E-04	+1.974023E+01	2PT  
-4.008944E-02	-6.194061E-04	+1.961719E+01	2PT  
-3.008336E-02	-6.197153E-04	+1.949414E+01	2PT  
-2.009217E-02	-6.195412E-04	+1.937305E+01	2PT  
-1.003787E-02	-6.195768E-04	+1.925098E+01	2PT  
+7.735647E-05	-6.195293E-04	+1.912305E+01	2PT  
+1.007162E-02	-6.197295E-04	+1.900000E+01	2PT  
+2.008178E-02	-6.197210E-04	+1.887598E+01	2PT  
+3.008592E-02	-6.198065E-04	+1.875391E+01	2PT  
+4.013700E-02	-6.200481E-04	+1.862500E+01	2PT  
+5.012709E-02	-6.201164E-04	+1.850293E+01	2PT  
+6.012130E-02	-6.201834E-04	+1.837891E+01	2PT  
+7.011698E-02	-6.206692E-04	+1.825488E+01	2PT  
+8.013082E-02	-6.208064E-04	+1.813379E+01	2PT  
+9.016760E-02	-6.210151E-04	+1.801172E+01	2PT  
+1.001653E-01	-6.209177E-04	+1.788574E+01	2PT  
+1.101724E-01	-6.210964E-04	+1.776270E+01	2PT  
+1.201711E-01	-6.211786E-04	+1.763867E+01	2PT  
+1.301695E-01	-6.209936E-04	+1.751562E+01	2PT  
+1.401981E-01	-6.212546E-04	+1.739258E+01	2PT  
+1.501857E-01	-6.216865E-04	+1.726855E+01	2PT  
+1.601587E-01	-6.214530E-04	+1.714551E+01	2PT  
+1.701450E-01	-6.216129E-04	+1.702246E+01	2PT  
+1.801469E-01	-6.213335E-04	+1.690039E+01	2PT  
+1.901459E-01	-6.213802E-04	+1.677832E+01	2PT  
+2.001286E-01	-6.213440E-04	+1.665918E+01	2PT  
+2.101142E-01	-6.214177E-04	+1.653613E+01	2PT  
+2.200888E-01	-6.212347E-04	+1.641211E+01	2PT  
+2.300700E-01	-6.215087E-04	+1.628809E+01	2PT  
+2.400952E-01	-6.213130E-04	+1.616504E+01	2PT  
+2.500779E-01	-6.215756E-04	+1.604102E+01	2PT  
+2.600634E-01	-6.214143E-04	+1.591895E+01	2PT  
+2.700509E-01	-6.214331E-04	+1.579492E+01	2PT  
+2.800500E-01	-6.217309E-04	+1.567188E+01	2PT  
+2.900870E-01	-6.213611E-04	+1.554883E+01	2PT  
+3.000804E-01	-6.218649E-04	+1.542578E+01	2PT  
+3.101000E-01	-6.217530E-04	+1.529980E+01	2PT  
+3.200916E-01	-6.213515E-04	+1.517578E+01	2PT  
+3.301001E-01	-6.212604E-04	+1.505371E+01	2PT  
