[[DESCRIPTION]]
CPB_SE5_15_1P_2700K_200_lux_lights_off

[[ANALYSIS]]
EFF      	5.10	%
FF        	64.3	%
Voc      	1193.9	mV
Jsc       	0.14	mA/cm2
Vmax   	900.1	mV
Jmax    	0.12	mA/cm2
Isc        	1.285048E-5	A
Rsc       	3.9763E+5	Ohm
Roc      	10358	Ohm
A          	0.089	cm2
Incd. Pwr	2.171	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001121E-01	-1.293463E-05	+2.204883E+01	2PT  
-1.901351E-01	-1.291766E-05	+2.192480E+01	2PT  
-1.801482E-01	-1.293981E-05	+2.179980E+01	2PT  
-1.701527E-01	-1.296484E-05	+2.167871E+01	2PT  
-1.601614E-01	-1.297154E-05	+2.155469E+01	2PT  
-1.501409E-01	-1.290647E-05	+2.143164E+01	2PT  
-1.401651E-01	-1.295547E-05	+2.130762E+01	2PT  
-1.301821E-01	-1.300204E-05	+2.118359E+01	2PT  
-1.201689E-01	-1.292912E-05	+2.106152E+01	2PT  
-1.101733E-01	-1.294737E-05	+2.093945E+01	2PT  
-1.001182E-01	-1.290795E-05	+2.082031E+01	2PT  
-9.012551E-02	-1.293102E-05	+2.069434E+01	2PT  
-8.012274E-02	-1.297869E-05	+2.057324E+01	2PT  
-7.011685E-02	-1.292338E-05	+2.044531E+01	2PT  
-6.008971E-02	-1.295964E-05	+2.032129E+01	2PT  
-5.007698E-02	-1.290554E-05	+2.019824E+01	2PT  
-4.007765E-02	-1.290310E-05	+2.007422E+01	2PT  
-3.006850E-02	-1.291011E-05	+1.995117E+01	2PT  
-2.007474E-02	-1.291586E-05	+1.982910E+01	2PT  
-1.003783E-02	-1.287532E-05	+1.970410E+01	2PT  
+9.068847E-05	-1.285026E-05	+1.958105E+01	2PT  
+1.007988E-02	-1.292736E-05	+1.945898E+01	2PT  
+2.009496E-02	-1.284715E-05	+1.933496E+01	2PT  
+3.009925E-02	-1.282224E-05	+1.921191E+01	2PT  
