[[DESCRIPTION]]
CPB_SE6_12_1P_4000K_1000_lux_lights_off

[[ANALYSIS]]
EFF      	14.45	%
FF        	64.4	%
Voc      	1243.4	mV
Jsc       	0.67	mA/cm2
Vmax   	930.1	mV
Jmax    	0.58	mA/cm2
Isc        	5.980908E-5	A
Rsc       	16402	Ohm
Roc      	2738.3	Ohm
A          	0.089	cm2
Incd. Pwr	3.725	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000808E-01	-5.934706E-05	+2.182324E+01	2PT  
-1.901644E-01	-6.002970E-05	+2.169922E+01	2PT  
-1.801577E-01	-6.053182E-05	+2.157617E+01	2PT  
-1.701383E-01	-5.917458E-05	+2.145410E+01	2PT  
-1.601889E-01	-5.957665E-05	+2.133008E+01	2PT  
-1.501680E-01	-6.050565E-05	+2.120703E+01	2PT  
-1.401820E-01	-5.913850E-05	+2.108301E+01	2PT  
-1.301986E-01	-5.926065E-05	+2.095898E+01	2PT  
-1.202192E-01	-5.960309E-05	+2.083594E+01	2PT  
-1.101829E-01	-6.063620E-05	+2.071191E+01	2PT  
-1.001221E-01	-5.914052E-05	+2.058789E+01	2PT  
-9.012989E-02	-6.048795E-05	+2.045898E+01	2PT  
-8.014519E-02	-5.912488E-05	+2.033691E+01	2PT  
-7.023231E-02	-6.002156E-05	+2.021484E+01	2PT  
-6.009844E-02	-5.903433E-05	+2.009277E+01	2PT  
-5.009715E-02	-5.920977E-05	+1.996875E+01	2PT  
-4.009282E-02	-6.004186E-05	+1.984570E+01	2PT  
-3.008520E-02	-5.990360E-05	+1.972168E+01	2PT  
-2.006561E-02	-5.890672E-05	+1.959766E+01	2PT  
-1.001201E-02	-5.891586E-05	+1.947363E+01	2PT  
+5.069078E-05	-5.981360E-05	+1.935059E+01	2PT  
+1.009080E-02	-6.013939E-05	+1.922656E+01	2PT  
+2.010171E-02	-5.875523E-05	+1.910254E+01	2PT  
+3.008766E-02	-5.878829E-05	+1.897852E+01	2PT  
+4.009931E-02	-5.907995E-05	+1.885449E+01	2PT  
+5.012378E-02	-5.991484E-05	+1.873145E+01	2PT  
+6.014351E-02	-5.950831E-05	+1.860645E+01	2PT  
+7.015219E-02	-5.873499E-05	+1.848438E+01	2PT  
+8.011827E-02	-5.918376E-05	+1.836133E+01	2PT  
+9.016643E-02	-6.015333E-05	+1.823730E+01	2PT  
+1.001731E-01	-5.858169E-05	+1.811523E+01	2PT  
+1.101648E-01	-5.886540E-05	+1.799121E+01	2PT  
+1.201401E-01	-5.998313E-05	+1.786816E+01	2PT  
+1.301913E-01	-5.862488E-05	+1.774512E+01	2PT  
+1.401986E-01	-5.871164E-05	+1.762207E+01	2PT  
+1.501830E-01	-5.919956E-05	+1.749902E+01	2PT  
+1.601540E-01	-5.977827E-05	+1.737598E+01	2PT  
+1.701518E-01	-5.848596E-05	+1.725098E+01	2PT  
+1.800567E-01	-5.915554E-05	+1.713086E+01	2PT  
+1.901498E-01	-5.971104E-05	+1.700586E+01	2PT  
+2.001611E-01	-5.849137E-05	+1.688281E+01	2PT  
+2.101488E-01	-5.854442E-05	+1.675977E+01	2PT  
+2.200167E-01	-5.903859E-05	+1.663574E+01	2PT  
+2.300647E-01	-5.827691E-05	+1.651465E+01	2PT  
+2.401034E-01	-5.820344E-05	+1.638965E+01	2PT  
+2.500594E-01	-5.844418E-05	+1.626562E+01	2PT  
+2.599894E-01	-5.895176E-05	+1.614160E+01	2PT  
+2.700430E-01	-5.897306E-05	+1.601855E+01	2PT  
+2.800627E-01	-5.814607E-05	+1.589453E+01	2PT  
+2.900845E-01	-5.829536E-05	+1.577051E+01	2PT  
+3.000872E-01	-5.921753E-05	+1.564746E+01	2PT  
+3.100956E-01	-5.898133E-05	+1.552344E+01	2PT  
+3.200898E-01	-5.801393E-05	+1.540039E+01	2PT  
+3.300926E-01	-5.833257E-05	+1.527734E+01	2PT  
+3.401438E-01	-5.804578E-05	+1.514844E+01	2PT  
+3.501786E-01	-5.829727E-05	+1.502441E+01	2PT  
+3.600835E-01	-5.901231E-05	+1.490137E+01	2PT  
+3.701139E-01	-5.874148E-05	+1.477734E+01	2PT  
+3.801406E-01	-5.781134E-05	+1.465332E+01	2PT  
+3.901652E-01	-5.791307E-05	+1.452930E+01	2PT  
+4.001935E-01	-5.935778E-05	+1.440723E+01	2PT  
+4.101632E-01	-5.825638E-05	+1.427930E+01	2PT  
+4.201602E-01	-5.922903E-05	+1.415527E+01	2PT  
+4.301564E-01	-5.876971E-05	+1.402832E+01	2PT  
+4.401821E-01	-5.838033E-05	+1.390332E+01	2PT  
+4.501886E-01	-5.747789E-05	+1.377930E+01	2PT  
