[[DESCRIPTION]]
CPB_SE6_11_1P_4000K_1000_lux_lights_off_2

[[ANALYSIS]]
EFF      	12.75**	%
FF        	63.6**	%
Voc      	1181.9**	mV
Jsc       	0.63**	mA/cm2
Vmax   	940.1	mV
Jmax    	0.51	mA/cm2
Isc        	5.6209E-5	A
Rsc       	34497	Ohm
Roc      	1412.7	Ohm
A          	0.089	cm2
Incd. Pwr	3.725	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001170E-01	-5.513579E-05	+2.195215E+01	2PT  
-1.901527E-01	-5.536842E-05	+2.182617E+01	2PT  
-1.801561E-01	-5.582980E-05	+2.170117E+01	2PT  
-1.701616E-01	-5.659636E-05	+2.157617E+01	2PT  
-1.601696E-01	-5.523478E-05	+2.145215E+01	2PT  
-1.501960E-01	-5.510157E-05	+2.132910E+01	2PT  
-1.401662E-01	-5.537878E-05	+2.120508E+01	2PT  
-1.301930E-01	-5.663837E-05	+2.108203E+01	2PT  
-1.201723E-01	-5.506386E-05	+2.095801E+01	2PT  
-1.101361E-01	-5.519266E-05	+2.083496E+01	2PT  
-1.001954E-01	-5.605111E-05	+2.071191E+01	2PT  
-9.011640E-02	-5.616000E-05	+2.058887E+01	2PT  
-8.015028E-02	-5.511889E-05	+2.046484E+01	2PT  
-7.005488E-02	-5.523073E-05	+2.034082E+01	2PT  
-6.019475E-02	-5.594193E-05	+2.021680E+01	2PT  
-5.008474E-02	-5.509003E-05	+2.009375E+01	2PT  
-4.006691E-02	-5.493926E-05	+1.997070E+01	2PT  
-3.009173E-02	-5.496701E-05	+1.984375E+01	2PT  
-2.009387E-02	-5.562192E-05	+1.972168E+01	2PT  
-1.007201E-02	-5.573150E-05	+1.959570E+01	2PT  
+6.402313E-05	-5.621243E-05	+1.947266E+01	2PT  
+1.015664E-02	-5.513145E-05	+1.935156E+01	2PT  
+2.011517E-02	-5.570691E-05	+1.922754E+01	2PT  
+3.008020E-02	-5.557667E-05	+1.910449E+01	2PT  
+4.022861E-02	-5.502261E-05	+1.898242E+01	2PT  
+5.005608E-02	-5.553982E-05	+1.885840E+01	2PT  
+6.011633E-02	-5.571477E-05	+1.873340E+01	2PT  
+7.012548E-02	-5.489117E-05	+1.861230E+01	2PT  
+8.015788E-02	-5.499199E-05	+1.848535E+01	2PT  
+9.013712E-02	-5.498778E-05	+1.836133E+01	2PT  
+1.000835E-01	-5.553865E-05	+1.823828E+01	2PT  
+1.101533E-01	-5.660920E-05	+1.811328E+01	2PT  
+1.202270E-01	-5.503132E-05	+1.799414E+01	2PT  
+1.301771E-01	-5.489198E-05	+1.786621E+01	2PT  
+1.402188E-01	-5.520381E-05	+1.774316E+01	2PT  
+1.501967E-01	-5.613130E-05	+1.761914E+01	2PT  
+1.601736E-01	-5.649478E-05	+1.749414E+01	2PT  
+1.701381E-01	-5.494846E-05	+1.737207E+01	2PT  
+1.800863E-01	-5.552056E-05	+1.724902E+01	2PT  
+1.901369E-01	-5.499130E-05	+1.712695E+01	2PT  
+2.001894E-01	-5.493632E-05	+1.700391E+01	2PT  
+2.101201E-01	-5.659274E-05	+1.688281E+01	2PT  
+2.201058E-01	-5.494518E-05	+1.675977E+01	2PT  
+2.300994E-01	-5.504232E-05	+1.663574E+01	2PT  
+2.402097E-01	-5.521727E-05	+1.651172E+01	2PT  
+2.500724E-01	-5.497073E-05	+1.639063E+01	2PT  
+2.600729E-01	-5.481922E-05	+1.626660E+01	2PT  
+2.700608E-01	-5.650875E-05	+1.614648E+01	2PT  
+2.799572E-01	-5.549060E-05	+1.601855E+01	2PT  
+2.900625E-01	-5.649797E-05	+1.589453E+01	2PT  
+3.001027E-01	-5.484552E-05	+1.577051E+01	2PT  
+3.101671E-01	-5.491157E-05	+1.564746E+01	2PT  
+3.201257E-01	-5.483609E-05	+1.551953E+01	2PT  
+3.301215E-01	-5.543856E-05	+1.540137E+01	2PT  
+3.401479E-01	-5.468599E-05	+1.527734E+01	2PT  
+3.500970E-01	-5.506101E-05	+1.515430E+01	2PT  
+3.601360E-01	-5.646077E-05	+1.503125E+01	2PT  
+3.701437E-01	-5.531726E-05	+1.490234E+01	2PT  
+3.800749E-01	-5.533134E-05	+1.477734E+01	2PT  
+3.901732E-01	-5.459919E-05	+1.465527E+01	2PT  
+4.001672E-01	-5.450470E-05	+1.452930E+01	2PT  
+4.102836E-01	-5.470226E-05	+1.440625E+01	2PT  
+4.201882E-01	-5.522590E-05	+1.428320E+01	2PT  
+4.301587E-01	-5.589902E-05	+1.415918E+01	2PT  
+4.401743E-01	-5.433643E-05	+1.403516E+01	2PT  
+4.501622E-01	-5.465006E-05	+1.391309E+01	2PT  
+4.601393E-01	-5.537870E-05	+1.378906E+01	2PT  
+4.701191E-01	-5.415818E-05	+1.366602E+01	2PT  
+4.802043E-01	-5.436435E-05	+1.354395E+01	2PT  
+4.901409E-01	-5.567290E-05	+1.342188E+01	2PT  
+5.000868E-01	-5.388719E-05	+1.329785E+01	2PT  
+5.100529E-01	-5.410002E-05	+1.317480E+01	2PT  
+5.200849E-01	-5.548488E-05	+1.305176E+01	2PT  
+5.300593E-01	-5.380101E-05	+1.292773E+01	2PT  
+5.400839E-01	-5.365521E-05	+1.280273E+01	2PT  
+5.500562E-01	-5.421258E-05	+1.268164E+01	2PT  
+5.600747E-01	-5.499460E-05	+1.255762E+01	2PT  
+5.700734E-01	-5.341996E-05	+1.243359E+01	2PT  
+5.800638E-01	-5.323435E-05	+1.231055E+01	2PT  
+5.900888E-01	-5.341739E-05	+1.218652E+01	2PT  
+6.000866E-01	-5.464673E-05	+1.206250E+01	2PT  
+6.101133E-01	-5.430830E-05	+1.193652E+01	2PT  
+6.201349E-01	-5.279600E-05	+1.181543E+01	2PT  
+6.300744E-01	-5.392273E-05	+1.169336E+01	2PT  
+6.401548E-01	-5.290113E-05	+1.156934E+01	2PT  
+6.501480E-01	-5.237000E-05	+1.144629E+01	2PT  
+6.601581E-01	-5.242009E-05	+1.132227E+01	2PT  
+6.701772E-01	-5.341393E-05	+1.119922E+01	2PT  
+6.801813E-01	-5.170952E-05	+1.107617E+01	2PT  
+6.902344E-01	-5.147781E-05	+1.095215E+01	2PT  
+7.001386E-01	-5.189724E-05	+1.082812E+01	2PT  
+7.101787E-01	-5.269904E-05	+1.070410E+01	2PT  
+7.201568E-01	-5.083855E-05	+1.058105E+01	2PT  
+7.301719E-01	-5.081014E-05	+1.045801E+01	2PT  
+7.401491E-01	-5.200189E-05	+1.033594E+01	2PT  
+7.501503E-01	-5.026774E-05	+1.021094E+01	2PT  
+7.601677E-01	-5.009837E-05	+1.008789E+01	2PT  
+7.700315E-01	-5.028733E-05	+9.963867E+00	2PT  
+7.800217E-01	-5.010332E-05	+9.838867E+00	2PT  
+7.901338E-01	-4.923441E-05	+9.717773E+00	2PT  
+8.000970E-01	-4.886142E-05	+9.591797E+00	2PT  
+8.101011E-01	-4.897223E-05	+9.468750E+00	2PT  
+8.200484E-01	-4.906688E-05	+9.344727E+00	2PT  
+8.300341E-01	-4.939601E-05	+9.219727E+00	2PT  
+8.400463E-01	-4.766202E-05	+9.096680E+00	2PT  
+8.501251E-01	-4.741353E-05	+8.973633E+00	2PT  
+8.600051E-01	-4.748858E-05	+8.848633E+00	2PT  
+8.700656E-01	-4.808847E-05	+8.724609E+00	2PT  
+8.800961E-01	-4.725299E-05	+8.600586E+00	2PT  
+8.901569E-01	-4.596668E-05	+8.478516E+00	2PT  
+9.001292E-01	-4.593272E-05	+8.354492E+00	2PT  
+9.101214E-01	-4.521827E-05	+8.232422E+00	2PT  
+9.201048E-01	-4.454065E-05	+8.108398E+00	2PT  
+9.302271E-01	-4.429277E-05	+7.985352E+00	2PT  
+9.401325E-01	-4.495716E-05	+7.861328E+00	2PT  
+9.501964E-01	-4.311111E-05	+7.739258E+00	2PT  
+9.601642E-01	-4.279894E-05	+7.616211E+00	2PT  
+9.701673E-01	-4.333163E-05	+7.493164E+00	2PT  
+9.801357E-01	-4.138823E-05	+7.371094E+00	2PT  
+9.901956E-01	-4.106289E-05	+7.247070E+00	2PT  
+1.000168E+00	-4.113205E-05	+7.125000E+00	2PT  
+1.010132E+00	-3.961924E-05	+7.003906E+00	2PT  
+1.020121E+00	-3.935056E-05	+6.880859E+00	2PT  
+1.030126E+00	-3.770155E-05	+6.758789E+00	2PT  
+1.040149E+00	-3.707648E-05	+6.635742E+00	2PT  
+1.050115E+00	-3.606407E-05	+6.514648E+00	2PT  
+1.060117E+00	-3.468720E-05	+6.391602E+00	2PT  
+1.069993E+00	-3.415692E-05	+6.269531E+00	2PT  
+1.080051E+00	-3.292914E-05	+6.145508E+00	2PT  
+1.090054E+00	-3.088608E-05	+6.025391E+00	2PT  
+1.100028E+00	-2.965603E-05	+5.901367E+00	2PT  
+1.110049E+00	-2.757716E-05	+5.778320E+00	2PT  
+1.120065E+00	-2.512416E-05	+5.657227E+00	2PT  
+1.130045E+00	-2.299403E-05	+5.534180E+00	2PT  
+1.140110E+00	-1.923773E-05	+5.412109E+00	2PT  
+1.150089E+00	-1.560122E-05	+5.287109E+00	2PT  
+1.160109E+00	-1.105584E-05	+5.166016E+00	2PT  
+1.169953E+00	-7.899963E-06	+4.817383E+00	2PT  
