[[DESCRIPTION]]
CPB_SE6_11_1P_A1.5G_Sun

[[ANALYSIS]]
EFF      	4.56**	%
FF        	63.6**	%
Voc      	1214.0**	mV
Jsc       	5.90**	mA/cm2
Vmax   	960.2	mV
Jmax    	4.74	mA/cm2
Isc        	0.00052482	A
Rsc       	21581	Ohm
Roc      	209.68	Ohm
A          	0.089	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001149E-01	-5.331982E-04	+2.161719E+01	2PT  
-1.901233E-01	-5.327680E-04	+2.149609E+01	2PT  
-1.801510E-01	-5.325136E-04	+2.137305E+01	2PT  
-1.701566E-01	-5.320289E-04	+2.125000E+01	2PT  
-1.601726E-01	-5.316166E-04	+2.112500E+01	2PT  
-1.501531E-01	-5.311565E-04	+2.100488E+01	2PT  
-1.401713E-01	-5.305501E-04	+2.088184E+01	2PT  
-1.301815E-01	-5.299662E-04	+2.075977E+01	2PT  
-1.201844E-01	-5.296992E-04	+2.063574E+01	2PT  
-1.101810E-01	-5.292212E-04	+2.051465E+01	2PT  
-1.001330E-01	-5.289706E-04	+2.038867E+01	2PT  
-9.013640E-02	-5.286513E-04	+2.026953E+01	2PT  
-8.012316E-02	-5.282632E-04	+2.014258E+01	2PT  
-7.012255E-02	-5.278141E-04	+2.002051E+01	2PT  
-6.010160E-02	-5.274510E-04	+1.989551E+01	2PT  
-5.009299E-02	-5.267847E-04	+1.977344E+01	2PT  
-4.009260E-02	-5.263867E-04	+1.964844E+01	2PT  
-3.008167E-02	-5.261528E-04	+1.952637E+01	2PT  
-2.007889E-02	-5.258551E-04	+1.940137E+01	2PT  
-1.004035E-02	-5.254392E-04	+1.927832E+01	2PT  
+7.402300E-05	-5.248182E-04	+1.915625E+01	2PT  
+1.007998E-02	-5.245095E-04	+1.902930E+01	2PT  
+2.007673E-02	-5.242184E-04	+1.890820E+01	2PT  
+3.009014E-02	-5.237538E-04	+1.878418E+01	2PT  
+4.012607E-02	-5.235014E-04	+1.866113E+01	2PT  
+5.012274E-02	-5.232353E-04	+1.853711E+01	2PT  
+6.013561E-02	-5.229115E-04	+1.841309E+01	2PT  
+7.012886E-02	-5.226273E-04	+1.829004E+01	2PT  
+8.012576E-02	-5.223234E-04	+1.816602E+01	2PT  
+9.016737E-02	-5.216125E-04	+1.804395E+01	2PT  
+1.001566E-01	-5.215923E-04	+1.791992E+01	2PT  
+1.101705E-01	-5.208956E-04	+1.779883E+01	2PT  
+1.201762E-01	-5.206174E-04	+1.767480E+01	2PT  
+1.301724E-01	-5.205416E-04	+1.755176E+01	2PT  
+1.402040E-01	-5.202494E-04	+1.742871E+01	2PT  
+1.501877E-01	-5.199136E-04	+1.730664E+01	2PT  
+1.601698E-01	-5.196058E-04	+1.718262E+01	2PT  
+1.701548E-01	-5.190405E-04	+1.705957E+01	2PT  
+1.801342E-01	-5.186247E-04	+1.693750E+01	2PT  
+1.901446E-01	-5.183068E-04	+1.681348E+01	2PT  
+2.001274E-01	-5.180509E-04	+1.669043E+01	2PT  
+2.101130E-01	-5.174112E-04	+1.656836E+01	2PT  
+2.200917E-01	-5.170572E-04	+1.643848E+01	2PT  
+2.300780E-01	-5.171494E-04	+1.631641E+01	2PT  
+2.400964E-01	-5.166312E-04	+1.619238E+01	2PT  
+2.500708E-01	-5.161734E-04	+1.606836E+01	2PT  
+2.600562E-01	-5.159562E-04	+1.594629E+01	2PT  
+2.700350E-01	-5.156930E-04	+1.581641E+01	2PT  
+2.800494E-01	-5.157110E-04	+1.569531E+01	2PT  
+2.900823E-01	-5.150634E-04	+1.557031E+01	2PT  
+3.000846E-01	-5.145380E-04	+1.544824E+01	2PT  
+3.100974E-01	-5.142529E-04	+1.532422E+01	2PT  
+3.200939E-01	-5.136242E-04	+1.520117E+01	2PT  
+3.300900E-01	-5.133931E-04	+1.507910E+01	2PT  
+3.401394E-01	-5.129993E-04	+1.495508E+01	2PT  
+3.501330E-01	-5.128774E-04	+1.483301E+01	2PT  
+3.601350E-01	-5.121320E-04	+1.470801E+01	2PT  
+3.701341E-01	-5.118161E-04	+1.458398E+01	2PT  
+3.801396E-01	-5.113989E-04	+1.445996E+01	2PT  
+3.901753E-01	-5.108350E-04	+1.433691E+01	2PT  
+4.001843E-01	-5.103570E-04	+1.421094E+01	2PT  
+4.101881E-01	-5.100741E-04	+1.408594E+01	2PT  
+4.201725E-01	-5.097257E-04	+1.396289E+01	2PT  
+4.301555E-01	-5.092772E-04	+1.384082E+01	2PT  
+4.401861E-01	-5.087972E-04	+1.371777E+01	2PT  
+4.501628E-01	-5.082554E-04	+1.359375E+01	2PT  
+4.601479E-01	-5.079203E-04	+1.346973E+01	2PT  
+4.701152E-01	-5.074659E-04	+1.334863E+01	2PT  
+4.801017E-01	-5.071805E-04	+1.321973E+01	2PT  
+4.901178E-01	-5.067290E-04	+1.309766E+01	2PT  
+5.000955E-01	-5.059733E-04	+1.297266E+01	2PT  
+5.100842E-01	-5.055234E-04	+1.284961E+01	2PT  
+5.200757E-01	-5.049918E-04	+1.272754E+01	2PT  
+5.300534E-01	-5.039597E-04	+1.260449E+01	2PT  
+5.400669E-01	-5.033533E-04	+1.248242E+01	2PT  
+5.500503E-01	-5.023382E-04	+1.236035E+01	2PT  
+5.600599E-01	-5.019265E-04	+1.223633E+01	2PT  
+5.700690E-01	-5.013059E-04	+1.211426E+01	2PT  
+5.800661E-01	-5.002471E-04	+1.199023E+01	2PT  
+5.901000E-01	-4.997268E-04	+1.186523E+01	2PT  
+6.001111E-01	-4.986874E-04	+1.174316E+01	2PT  
+6.101108E-01	-4.980394E-04	+1.161914E+01	2PT  
+6.201205E-01	-4.971844E-04	+1.149902E+01	2PT  
+6.301087E-01	-4.961796E-04	+1.137500E+01	2PT  
+6.401498E-01	-4.952757E-04	+1.125391E+01	2PT  
+6.501511E-01	-4.941901E-04	+1.112891E+01	2PT  
+6.601505E-01	-4.927681E-04	+1.100879E+01	2PT  
+6.701490E-01	-4.917760E-04	+1.088477E+01	2PT  
+6.801573E-01	-4.904813E-04	+1.076270E+01	2PT  
+6.901973E-01	-4.892494E-04	+1.063867E+01	2PT  
+7.001886E-01	-4.880297E-04	+1.051465E+01	2PT  
+7.101755E-01	-4.869422E-04	+1.039258E+01	2PT  
+7.201484E-01	-4.850068E-04	+1.027051E+01	2PT  
+7.301365E-01	-4.841466E-04	+1.014551E+01	2PT  
+7.401599E-01	-4.827162E-04	+1.002148E+01	2PT  
+7.501264E-01	-4.807716E-04	+9.898438E+00	2PT  
+7.601093E-01	-4.790636E-04	+9.774414E+00	2PT  
+7.700998E-01	-4.773940E-04	+9.652344E+00	2PT  
+7.800817E-01	-4.755095E-04	+9.530273E+00	2PT  
+7.901049E-01	-4.737671E-04	+9.406250E+00	2PT  
+8.000849E-01	-4.716472E-04	+9.282227E+00	2PT  
