[[DESCRIPTION]]
CPB_SE6_12_1P_4000K_1000_lux_lights_off

[[ANALYSIS]]
EFF      	10.86**	%
FF        	59.8**	%
Voc      	1261.2**	mV
Jsc       	0.54**	mA/cm2
Vmax   	1010.2	mV
Jmax    	0.40	mA/cm2
Isc        	4.7704E-5	A
Rsc       	1.7736E+5	Ohm
Roc      	2030.4	Ohm
A          	0.089	cm2
Incd. Pwr	3.725	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000968E-01	-4.595203E-05	+2.212305E+01	2PT  
-1.901186E-01	-4.585125E-05	+2.199609E+01	2PT  
-1.801454E-01	-4.584455E-05	+2.187207E+01	2PT  
-1.701026E-01	-4.612344E-05	+2.174805E+01	2PT  
-1.602603E-01	-4.672271E-05	+2.162500E+01	2PT  
-1.501464E-01	-4.585024E-05	+2.150293E+01	2PT  
-1.401281E-01	-4.624903E-05	+2.137988E+01	2PT  
-1.301689E-01	-4.661903E-05	+2.125586E+01	2PT  
-1.201755E-01	-4.631472E-05	+2.113281E+01	2PT  
-1.101747E-01	-4.694406E-05	+2.100488E+01	2PT  
-1.001305E-01	-4.604022E-05	+2.088086E+01	2PT  
-9.010973E-02	-4.621479E-05	+2.075684E+01	2PT  
-8.017283E-02	-4.728668E-05	+2.063477E+01	2PT  
-7.013601E-02	-4.651472E-05	+2.051074E+01	2PT  
-6.008065E-02	-4.624328E-05	+2.038770E+01	2PT  
-5.008712E-02	-4.641493E-05	+2.026367E+01	2PT  
-4.018867E-02	-4.675100E-05	+2.013867E+01	2PT  
-3.005901E-02	-4.626200E-05	+2.001855E+01	2PT  
-2.008467E-02	-4.611294E-05	+1.989258E+01	2PT  
-1.009535E-02	-4.674491E-05	+1.976953E+01	2PT  
+7.652139E-05	-4.771154E-05	+1.964453E+01	2PT  
+1.011829E-02	-4.660848E-05	+1.952441E+01	2PT  
+2.008419E-02	-4.658201E-05	+1.939453E+01	2PT  
+3.007105E-02	-4.664581E-05	+1.927148E+01	2PT  
+4.015935E-02	-4.671035E-05	+1.914648E+01	2PT  
+5.014188E-02	-4.640760E-05	+1.901855E+01	2PT  
+6.011467E-02	-4.667132E-05	+1.889453E+01	2PT  
+7.014211E-02	-4.710142E-05	+1.877051E+01	2PT  
+8.013303E-02	-4.639349E-05	+1.864844E+01	2PT  
+9.018545E-02	-4.702335E-05	+1.852148E+01	2PT  
+1.001731E-01	-4.669581E-05	+1.839941E+01	2PT  
+1.101756E-01	-4.717999E-05	+1.827539E+01	2PT  
+1.201779E-01	-4.691792E-05	+1.815332E+01	2PT  
+1.300762E-01	-4.764397E-05	+1.802344E+01	2PT  
+1.401867E-01	-4.785732E-05	+1.789941E+01	2PT  
+1.502103E-01	-4.688963E-05	+1.777539E+01	2PT  
+1.602337E-01	-4.699557E-05	+1.765332E+01	2PT  
+1.701431E-01	-4.802903E-05	+1.753027E+01	2PT  
+1.801354E-01	-4.670112E-05	+1.740723E+01	2PT  
+1.901937E-01	-4.670933E-05	+1.728320E+01	2PT  
+2.000852E-01	-4.759376E-05	+1.716113E+01	2PT  
+2.101214E-01	-4.756988E-05	+1.703711E+01	2PT  
+2.200880E-01	-4.668211E-05	+1.691504E+01	2PT  
+2.300801E-01	-4.655528E-05	+1.679004E+01	2PT  
+2.400472E-01	-4.692049E-05	+1.666602E+01	2PT  
+2.500792E-01	-4.758210E-05	+1.654199E+01	2PT  
+2.600768E-01	-4.639120E-05	+1.642187E+01	2PT  
+2.700586E-01	-4.675730E-05	+1.629785E+01	2PT  
+2.800687E-01	-4.607598E-05	+1.617578E+01	2PT  
+2.900819E-01	-4.609965E-05	+1.605176E+01	2PT  
+3.000582E-01	-4.616845E-05	+1.592871E+01	2PT  
+3.101024E-01	-4.692922E-05	+1.580469E+01	2PT  
+3.201058E-01	-4.565369E-05	+1.568066E+01	2PT  
+3.300964E-01	-4.571510E-05	+1.555859E+01	2PT  
+3.401487E-01	-4.687620E-05	+1.543652E+01	2PT  
+3.501305E-01	-4.563997E-05	+1.531250E+01	2PT  
+3.601125E-01	-4.568603E-05	+1.518945E+01	2PT  
+3.701545E-01	-4.594212E-05	+1.506543E+01	2PT  
+3.801184E-01	-4.676141E-05	+1.494141E+01	2PT  
+3.901807E-01	-4.546829E-05	+1.481836E+01	2PT  
+4.002162E-01	-4.548406E-05	+1.469336E+01	2PT  
+4.101934E-01	-4.595169E-05	+1.457031E+01	2PT  
+4.201845E-01	-4.661305E-05	+1.444629E+01	2PT  
+4.301616E-01	-4.531708E-05	+1.432227E+01	2PT  
+4.401748E-01	-4.524038E-05	+1.419727E+01	2PT  
+4.501379E-01	-4.653841E-05	+1.407715E+01	2PT  
+4.601434E-01	-4.646043E-05	+1.395215E+01	2PT  
+4.701369E-01	-4.516020E-05	+1.383105E+01	2PT  
+4.801159E-01	-4.540017E-05	+1.370703E+01	2PT  
+4.901323E-01	-4.613126E-05	+1.358301E+01	2PT  
+5.001280E-01	-4.505484E-05	+1.345801E+01	2PT  
+5.101394E-01	-4.479455E-05	+1.333496E+01	2PT  
+5.200571E-01	-4.517633E-05	+1.321094E+01	2PT  
+5.300099E-01	-4.508300E-05	+1.308594E+01	2PT  
+5.400890E-01	-4.466062E-05	+1.296387E+01	2PT  
+5.500675E-01	-4.456050E-05	+1.283984E+01	2PT  
+5.600751E-01	-4.493708E-05	+1.271680E+01	2PT  
+5.700558E-01	-4.526649E-05	+1.259375E+01	2PT  
+5.800916E-01	-4.429160E-05	+1.246973E+01	2PT  
+5.901145E-01	-4.430973E-05	+1.234570E+01	2PT  
+6.000998E-01	-4.413289E-05	+1.221973E+01	2PT  
+6.101083E-01	-4.534667E-05	+1.209863E+01	2PT  
+6.201155E-01	-4.436934E-05	+1.197363E+01	2PT  
+6.301174E-01	-4.389752E-05	+1.184961E+01	2PT  
+6.401551E-01	-4.357422E-05	+1.172461E+01	2PT  
+6.501644E-01	-4.448622E-05	+1.160352E+01	2PT  
+6.601816E-01	-4.350928E-05	+1.147363E+01	2PT  
+6.701642E-01	-4.445435E-05	+1.135156E+01	2PT  
+6.801856E-01	-4.324590E-05	+1.122949E+01	2PT  
+6.902593E-01	-4.304740E-05	+1.110547E+01	2PT  
+7.001778E-01	-4.400869E-05	+1.098242E+01	2PT  
+7.101833E-01	-4.285756E-05	+1.085840E+01	2PT  
+7.201667E-01	-4.259115E-05	+1.073633E+01	2PT  
+7.300835E-01	-4.295261E-05	+1.061230E+01	2PT  
+7.401525E-01	-4.231177E-05	+1.048926E+01	2PT  
+7.501460E-01	-4.209965E-05	+1.036523E+01	2PT  
+7.601311E-01	-4.194874E-05	+1.024023E+01	2PT  
+7.701164E-01	-4.287194E-05	+1.011914E+01	2PT  
+7.800752E-01	-4.235768E-05	+9.992188E+00	2PT  
+7.900878E-01	-4.227976E-05	+9.868164E+00	2PT  
+8.000578E-01	-4.135098E-05	+9.745117E+00	2PT  
+8.100476E-01	-4.164493E-05	+9.622070E+00	2PT  
+8.200274E-01	-4.205244E-05	+9.497070E+00	2PT  
+8.300547E-01	-4.073346E-05	+9.373047E+00	2PT  
+8.400721E-01	-4.029986E-05	+9.248047E+00	2PT  
+8.499846E-01	-4.064072E-05	+9.126953E+00	2PT  
+8.600789E-01	-4.102567E-05	+9.002930E+00	2PT  
+8.700705E-01	-3.970070E-05	+8.880859E+00	2PT  
+8.800663E-01	-3.969323E-05	+8.756836E+00	2PT  
+8.900562E-01	-3.966170E-05	+8.632813E+00	2PT  
+9.001247E-01	-3.886317E-05	+8.510742E+00	2PT  
+9.101117E-01	-3.841505E-05	+8.386719E+00	2PT  
+9.201176E-01	-3.824851E-05	+8.262695E+00	2PT  
+9.301188E-01	-3.867020E-05	+8.139648E+00	2PT  
+9.401698E-01	-3.705101E-05	+8.015625E+00	2PT  
+9.501401E-01	-3.663643E-05	+7.891602E+00	2PT  
+9.601431E-01	-3.704036E-05	+7.769531E+00	2PT  
+9.701609E-01	-3.605574E-05	+7.648438E+00	2PT  
+9.801695E-01	-3.565842E-05	+7.525391E+00	2PT  
+9.901543E-01	-3.625369E-05	+7.401367E+00	2PT  
+1.000163E+00	-3.579782E-05	+7.278320E+00	2PT  
+1.010214E+00	-3.563148E-05	+7.155273E+00	2PT  
+1.020133E+00	-3.440195E-05	+7.030273E+00	2PT  
+1.030123E+00	-3.376228E-05	+6.903320E+00	2PT  
+1.040111E+00	-3.291529E-05	+6.783203E+00	2PT  
+1.050137E+00	-3.215975E-05	+6.657227E+00	2PT  
