[[DESCRIPTION]]
CPB_105_700nm_2700K_1000lux_12_1P_VN

[[ANALYSIS]]
EFF      	0.02**	%
FF        	85.4**	%
Voc      	200.1**	mV
Jsc       	0.12**	mA/cm2
Vmax   	190.1	mV
Jmax    	0.11	mA/cm2
Isc        	1.0835E-5	A
Rsc       	1.1326E+5	Ohm
Roc      	1.7382E+5	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000646E-01	+9.678895E-06	+2.172070E+01	2PT  
-1.901208E-01	+9.736101E-06	+2.159766E+01	2PT  
-1.801490E-01	+9.766721E-06	+2.147461E+01	2PT  
-1.701079E-01	+9.977658E-06	+2.135156E+01	2PT  
-1.601407E-01	+1.007923E-05	+2.122754E+01	2PT  
-1.501135E-01	+1.013821E-05	+2.110352E+01	2PT  
-1.401175E-01	+1.036812E-05	+2.098340E+01	2PT  
-1.301613E-01	+1.008424E-05	+2.074512E+01	2PT  
-1.201585E-01	+1.017715E-05	+2.062305E+01	2PT  
-1.101614E-01	+1.016620E-05	+2.050098E+01	2PT  
-1.001259E-01	+1.033229E-05	+2.037988E+01	2PT  
-9.012134E-02	+1.034025E-05	+2.025684E+01	2PT  
-8.011302E-02	+1.041938E-05	+2.012988E+01	2PT  
-7.011618E-02	+1.049245E-05	+2.000781E+01	2PT  
-6.008284E-02	+1.055711E-05	+1.988477E+01	2PT  
-5.007135E-02	+1.060428E-05	+1.976172E+01	2PT  
-4.007510E-02	+1.068810E-05	+1.963965E+01	2PT  
-3.006637E-02	+1.075382E-05	+1.951660E+01	2PT  
-2.006185E-02	+1.079304E-05	+1.939258E+01	2PT  
-1.003303E-02	+1.084381E-05	+1.926660E+01	2PT  
+5.569839E-05	+1.083479E-05	+1.914453E+01	2PT  
+1.006093E-02	+1.102269E-05	+1.902051E+01	2PT  
+2.007466E-02	+1.108615E-05	+1.889746E+01	2PT  
+3.007725E-02	+1.108814E-05	+1.877344E+01	2PT  
+4.010508E-02	+1.122242E-05	+1.865137E+01	2PT  
+5.011034E-02	+1.128579E-05	+1.852832E+01	2PT  
+6.011397E-02	+1.122863E-05	+1.840918E+01	2PT  
+7.011445E-02	+1.138564E-05	+1.828027E+01	2PT  
+8.012886E-02	+1.138951E-05	+1.815820E+01	2PT  
+9.015639E-02	+1.153230E-05	+1.803613E+01	2PT  
+1.001634E-01	+1.163183E-05	+1.791211E+01	2PT  
+1.101646E-01	+1.163413E-05	+1.778809E+01	2PT  
+1.201637E-01	+1.187182E-05	+1.766602E+01	2PT  
+1.301568E-01	+1.193818E-05	+1.754199E+01	2PT  
+1.401829E-01	+1.210911E-05	+1.742188E+01	2PT  
+1.501647E-01	+1.228257E-05	+1.729785E+01	2PT  
+1.601576E-01	+1.244112E-05	+1.717383E+01	2PT  
+1.701308E-01	+1.260317E-05	+1.705078E+01	2PT  
+1.801239E-01	+1.302602E-05	+1.692676E+01	2PT  
+1.901412E-01	+1.337477E-05	+1.680176E+01	2PT  
+2.001313E-01	+1.377055E-05	+1.667871E+01	2PT  
+2.100957E-01	+1.437636E-05	+1.655664E+01	2PT  
+2.200679E-01	+1.496661E-05	+1.643066E+01	2PT  
+2.300602E-01	+1.600565E-05	+1.630762E+01	2PT  
+2.400834E-01	+1.705471E-05	+1.618555E+01	2PT  
+2.500671E-01	+1.838521E-05	+1.606152E+01	2PT  
+2.600472E-01	+2.024524E-05	+1.593945E+01	2PT  
+2.700449E-01	+2.231823E-05	+1.581543E+01	2PT  
+2.800385E-01	+2.491342E-05	+1.569141E+01	2PT  
+2.900713E-01	+2.819215E-05	+1.556934E+01	2PT  
+3.000661E-01	+3.211527E-05	+1.544629E+01	2PT  
+3.100872E-01	+3.676307E-05	+1.532324E+01	2PT  
+3.200911E-01	+4.254834E-05	+1.519922E+01	2PT  
+3.300918E-01	+4.940336E-05	+1.507520E+01	2PT  
+3.401211E-01	+5.768388E-05	+1.495313E+01	2PT  
+3.501432E-01	+6.781484E-05	+1.482422E+01	2PT  
+3.601372E-01	+7.942483E-05	+1.470117E+01	2PT  
+3.701358E-01	+9.225404E-05	+1.457910E+01	2PT  
+3.801343E-01	+1.156149E-04	+1.433594E+01	2PT  
+3.901649E-01	+1.375841E-04	+1.421582E+01	2PT  
+4.001690E-01	+1.647500E-04	+1.409082E+01	2PT  
+4.101785E-01	+1.971686E-04	+1.396680E+01	2PT  
+4.201692E-01	+2.356725E-04	+1.384375E+01	2PT  
+4.301542E-01	+2.818257E-04	+1.372070E+01	2PT  
+4.401651E-01	+3.360082E-04	+1.359863E+01	2PT  
+4.501550E-01	+4.000762E-04	+1.347461E+01	2PT  
+4.601322E-01	+4.734854E-04	+1.335449E+01	2PT  
+4.701353E-01	+5.594132E-04	+1.323047E+01	2PT  
+4.801019E-01	+6.560681E-04	+1.310840E+01	2PT  
+4.901211E-01	+7.650030E-04	+1.298437E+01	2PT  
+5.001059E-01	+8.766781E-04	+1.286523E+01	2PT  
+5.100857E-01	+1.057149E-03	+1.262598E+01	2PT  
+5.200633E-01	+1.219722E-03	+1.250098E+01	2PT  
+5.300472E-01	+1.398852E-03	+1.237793E+01	2PT  
+5.400686E-01	+1.595511E-03	+1.225293E+01	2PT  
+5.500473E-01	+1.806270E-03	+1.213184E+01	2PT  
+5.600536E-01	+2.038454E-03	+1.200391E+01	2PT  
+5.700560E-01	+2.282018E-03	+1.188184E+01	2PT  
+5.800681E-01	+2.546561E-03	+1.175293E+01	2PT  
+5.900879E-01	+2.824233E-03	+1.162988E+01	2PT  
+6.001042E-01	+3.113614E-03	+1.150586E+01	2PT  
+6.100991E-01	+3.421557E-03	+1.137695E+01	2PT  
+6.201096E-01	+3.739479E-03	+1.125391E+01	2PT  
+6.301000E-01	+4.071548E-03	+1.112793E+01	2PT  
+6.401448E-01	+4.415798E-03	+1.100391E+01	2PT  
+6.501493E-01	+4.770786E-03	+1.087891E+01	2PT  
+6.601581E-01	+5.133387E-03	+1.075684E+01	2PT  
+6.701536E-01	+5.507931E-03	+1.063281E+01	2PT  
+6.801577E-01	+5.890410E-03	+1.051074E+01	2PT  
+6.902013E-01	+6.281421E-03	+1.038770E+01	2PT  
+7.001916E-01	+6.679507E-03	+1.026367E+01	2PT  
+7.101752E-01	+7.085254E-03	+1.013965E+01	2PT  
+7.201421E-01	+7.497231E-03	+1.001758E+01	2PT  
+7.301378E-01	+7.915366E-03	+9.893555E+00	2PT  
+7.401631E-01	+8.341449E-03	+9.768555E+00	2PT  
+7.501308E-01	+8.768117E-03	+9.647461E+00	2PT  
+7.601209E-01	+9.198515E-03	+9.523438E+00	2PT  
+7.701087E-01	+9.618697E-03	+9.404297E+00	2PT  
+7.800658E-01	+1.009619E-02	+9.166016E+00	2PT  
+7.900853E-01	+1.054834E-02	+9.043945E+00	2PT  
+8.000750E-01	+1.100312E-02	+8.919922E+00	2PT  
+8.100578E-01	+1.146024E-02	+8.797852E+00	2PT  
+8.200381E-01	+1.192275E-02	+8.674805E+00	2PT  
+8.300052E-01	+1.238697E-02	+8.550781E+00	2PT  
+8.400522E-01	+1.285714E-02	+8.426758E+00	2PT  
+8.500584E-01	+1.333018E-02	+8.303711E+00	2PT  
+8.600749E-01	+1.380567E-02	+8.181641E+00	2PT  
+8.700673E-01	+1.428167E-02	+8.057617E+00	2PT  
+8.800766E-01	+1.476078E-02	+7.933594E+00	2PT  
+8.901082E-01	+1.524470E-02	+7.809570E+00	2PT  
+9.001107E-01	+1.572982E-02	+7.685547E+00	2PT  
+9.101016E-01	+1.621327E-02	+7.563477E+00	2PT  
+9.201123E-01	+1.670013E-02	+7.439453E+00	2PT  
+9.301170E-01	+1.718945E-02	+7.317383E+00	2PT  
+9.401479E-01	+1.767968E-02	+7.193359E+00	2PT  
+9.501551E-01	+1.817061E-02	+7.071289E+00	2PT  
+9.601577E-01	+1.866285E-02	+6.947266E+00	2PT  
+9.701635E-01	+1.915566E-02	+6.822266E+00	2PT  
+9.801463E-01	+1.964690E-02	+6.700195E+00	2PT  
+9.901766E-01	+2.014310E-02	+6.574219E+00	2PT  
+1.000146E+00	+2.063591E-02	+6.452148E+00	2PT  
+1.010126E+00	+2.112824E-02	+6.329102E+00	2PT  
+1.020126E+00	+2.162352E-02	+6.206055E+00	2PT  
+1.030107E+00	+2.211632E-02	+6.083984E+00	2PT  
+1.040120E+00	+2.261234E-02	+5.960938E+00	2PT  
+1.050097E+00	+2.310389E-02	+5.838867E+00	2PT  
+1.060090E+00	+2.359580E-02	+5.717773E+00	2PT  
+1.070065E+00	+2.408857E-02	+5.592773E+00	2PT  
+1.080041E+00	+2.457729E-02	+5.470703E+00	2PT  
+1.090074E+00	+2.506844E-02	+5.346680E+00	2PT  
+1.100049E+00	+2.555640E-02	+5.224609E+00	2PT  
+1.110037E+00	+2.604125E-02	+5.099609E+00	2PT  
+1.120030E+00	+2.652385E-02	+4.974609E+00	2PT  
+1.130038E+00	+2.700762E-02	+4.853516E+00	2PT  
+1.140088E+00	+2.748589E-02	+4.731445E+00	2PT  
+1.150082E+00	+2.795933E-02	+4.607422E+00	2PT  
+1.160086E+00	+2.842722E-02	+4.486328E+00	2PT  
+1.170086E+00	+2.886630E-02	+4.362305E+00	2PT  
+1.180089E+00	+2.847513E-02	+4.241211E+00	2PT  
+1.190120E+00	+2.892328E-02	+4.118164E+00	2PT  
+1.200129E+00	+2.936183E-02	+3.994141E+00	2PT  
+1.210120E+00	+2.979747E-02	+3.870117E+00	2PT  
+1.220126E+00	+3.022957E-02	+3.748047E+00	2PT  
+1.230137E+00	+3.064985E-02	+3.627930E+00	2PT  
+1.240169E+00	+3.106620E-02	+3.502930E+00	2PT  
+1.250163E+00	+3.146739E-02	+3.378906E+00	2PT  
+1.260152E+00	+3.185437E-02	+3.255859E+00	2PT  
+1.270133E+00	+3.223576E-02	+3.133789E+00	2PT  
+1.280151E+00	+3.259576E-02	+3.008789E+00	2PT  
+1.290137E+00	+3.293488E-02	+2.884766E+00	2PT  
+1.300120E+00	+3.325251E-02	+2.761719E+00	2PT  
+1.310097E+00	+3.354990E-02	+2.639648E+00	2PT  
+1.320077E+00	+3.380375E-02	+2.517578E+00	2PT  
+1.330107E+00	+3.401981E-02	+2.392578E+00	2PT  
+1.340087E+00	+3.418213E-02	+2.268555E+00	2PT  
+1.350069E+00	+3.426872E-02	+2.146484E+00	2PT  
+1.360043E+00	+3.427654E-02	+2.027344E+00	2PT  
+1.370039E+00	+3.412506E-02	+1.904297E+00	2PT  
+1.380058E+00	+3.375877E-02	+1.782227E+00	2PT  
+1.390031E+00	+3.305809E-02	+1.663086E+00	2PT  
+1.400030E+00	+3.119400E-02	+1.522461E+00	2PT  


[[PARAMS]]
DeviceArea=9.0000000000E-2
Slope neighborhood=1.0000000000E+0
LateralCorrectionFactor=1.0000000000E+0
Sample thickness=5.0000000000E+2
IncidentSpectrum=1.0000000000E+2
FourProbeSpacing=2.2900000000E+3
Max flicker=5.0000000000E+0
IdCrappyFit=TRUE
TemperatureK=3.0000000000E+2

