[[DESCRIPTION]]
CPB_105_700nm_2700K_200lux_12_1P_VN

[[ANALYSIS]]
EFF      	0.01**	%
FF        	80.9**	%
Voc      	200.1**	mV
Jsc       	0.05**	mA/cm2
Vmax   	190.1	mV
Jmax    	0.04	mA/cm2
Isc        	4.7286E-6	A
Rsc       	1.483E+5	Ohm
Roc      	85801	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000874E-01	+3.908209E-06	+2.171875E+01	2PT  
-1.901224E-01	+4.024350E-06	+2.159570E+01	2PT  
-1.801317E-01	+4.004395E-06	+2.147168E+01	2PT  
-1.701304E-01	+4.059052E-06	+2.134863E+01	2PT  
-1.601720E-01	+4.103274E-06	+2.122363E+01	2PT  
-1.501684E-01	+4.073619E-06	+2.110059E+01	2PT  
-1.401628E-01	+4.225392E-06	+2.097559E+01	2PT  
-1.301659E-01	+4.217244E-06	+2.085254E+01	2PT  
-1.201372E-01	+4.260354E-06	+2.072754E+01	2PT  
-1.101588E-01	+4.314074E-06	+2.060449E+01	2PT  
-1.001164E-01	+4.308888E-06	+2.048242E+01	2PT  
-9.009166E-02	+4.377287E-06	+2.035840E+01	2PT  
-8.011116E-02	+4.405132E-06	+2.023438E+01	2PT  
-7.011250E-02	+4.357998E-06	+2.011133E+01	2PT  
-6.005766E-02	+4.484082E-06	+1.999121E+01	2PT  
-5.007647E-02	+4.531438E-06	+1.986719E+01	2PT  
-4.007179E-02	+4.460952E-06	+1.974414E+01	2PT  
-3.005803E-02	+4.578852E-06	+1.962012E+01	2PT  
-2.006849E-02	+4.612838E-06	+1.949707E+01	2PT  
-1.003555E-02	+4.578821E-06	+1.937402E+01	2PT  
+5.069602E-05	+4.729337E-06	+1.925000E+01	2PT  
+1.007856E-02	+4.713667E-06	+1.912598E+01	2PT  
+2.009043E-02	+4.751455E-06	+1.900293E+01	2PT  
+3.007327E-02	+4.840883E-06	+1.888086E+01	2PT  
+4.012274E-02	+4.827193E-06	+1.875781E+01	2PT  
+5.013623E-02	+4.848775E-06	+1.863574E+01	2PT  
+6.010998E-02	+4.964086E-06	+1.851172E+01	2PT  
+7.011165E-02	+4.926265E-06	+1.838770E+01	2PT  
+8.013514E-02	+4.994910E-06	+1.826465E+01	2PT  
+9.014805E-02	+5.055625E-06	+1.814062E+01	2PT  
+1.001384E-01	+5.011025E-06	+1.801758E+01	2PT  
+1.101694E-01	+5.146537E-06	+1.789453E+01	2PT  
+1.201668E-01	+5.212195E-06	+1.777148E+01	2PT  
+1.301737E-01	+5.201083E-06	+1.764941E+01	2PT  
+1.402040E-01	+5.382515E-06	+1.752637E+01	2PT  
+1.501742E-01	+5.483008E-06	+1.740137E+01	2PT  
+1.601298E-01	+5.540169E-06	+1.728027E+01	2PT  
+1.701488E-01	+5.767320E-06	+1.715625E+01	2PT  
+1.801153E-01	+5.951412E-06	+1.703418E+01	2PT  
+1.901354E-01	+6.123261E-06	+1.691113E+01	2PT  
+2.001414E-01	+6.503078E-06	+1.678809E+01	2PT  
+2.101018E-01	+6.840778E-06	+1.666406E+01	2PT  
+2.200834E-01	+7.251504E-06	+1.654199E+01	2PT  
+2.300758E-01	+7.895257E-06	+1.641699E+01	2PT  
+2.400738E-01	+8.451817E-06	+1.629004E+01	2PT  
+2.500829E-01	+9.294366E-06	+1.617090E+01	2PT  
+2.600475E-01	+1.072623E-05	+1.593066E+01	2PT  
+2.700244E-01	+1.212674E-05	+1.580859E+01	2PT  
+2.800302E-01	+1.380206E-05	+1.568555E+01	2PT  
+2.900794E-01	+1.608291E-05	+1.556055E+01	2PT  
+3.000758E-01	+1.862277E-05	+1.543945E+01	2PT  
+3.100866E-01	+2.197143E-05	+1.530957E+01	2PT  
+3.200870E-01	+2.588777E-05	+1.518945E+01	2PT  
+3.300891E-01	+3.092492E-05	+1.506055E+01	2PT  
+3.401369E-01	+3.692900E-05	+1.493945E+01	2PT  
+3.501257E-01	+4.421603E-05	+1.481543E+01	2PT  
+3.601335E-01	+5.327968E-05	+1.469141E+01	2PT  
+3.701277E-01	+6.413284E-05	+1.456836E+01	2PT  
+3.801486E-01	+7.689396E-05	+1.444531E+01	2PT  
+3.901896E-01	+9.102623E-05	+1.432617E+01	2PT  
+4.001676E-01	+1.190695E-04	+1.408691E+01	2PT  
+4.101714E-01	+1.450425E-04	+1.396289E+01	2PT  
+4.201523E-01	+1.767353E-04	+1.383789E+01	2PT  
+4.301571E-01	+2.138418E-04	+1.371680E+01	2PT  
+4.401586E-01	+2.608252E-04	+1.358691E+01	2PT  
+4.501574E-01	+3.138453E-04	+1.346680E+01	2PT  
+4.601411E-01	+3.779402E-04	+1.334277E+01	2PT  
+4.701172E-01	+4.516563E-04	+1.321973E+01	2PT  
+4.801081E-01	+5.372257E-04	+1.309570E+01	2PT  
+4.901237E-01	+6.344314E-04	+1.297266E+01	2PT  
+5.001101E-01	+7.419821E-04	+1.285059E+01	2PT  
+5.100949E-01	+8.521143E-04	+1.273145E+01	2PT  
+5.200659E-01	+1.039936E-03	+1.248633E+01	2PT  
+5.300277E-01	+1.202588E-03	+1.236328E+01	2PT  
+5.400645E-01	+1.382383E-03	+1.223828E+01	2PT  
+5.500513E-01	+1.578034E-03	+1.211523E+01	2PT  
+5.600557E-01	+1.790599E-03	+1.199023E+01	2PT  
+5.700464E-01	+2.019316E-03	+1.186719E+01	2PT  
+5.800620E-01	+2.262862E-03	+1.174414E+01	2PT  
+5.901023E-01	+2.519599E-03	+1.162207E+01	2PT  
+6.000973E-01	+2.797528E-03	+1.149316E+01	2PT  
+6.100962E-01	+3.083345E-03	+1.137109E+01	2PT  
+6.201055E-01	+3.382687E-03	+1.124805E+01	2PT  
+6.301053E-01	+3.695376E-03	+1.112402E+01	2PT  
+6.401443E-01	+4.020402E-03	+1.100000E+01	2PT  
+6.501490E-01	+4.355641E-03	+1.087598E+01	2PT  
+6.601549E-01	+4.701124E-03	+1.075195E+01	2PT  
+6.701557E-01	+5.056347E-03	+1.062793E+01	2PT  
+6.801646E-01	+5.420990E-03	+1.050391E+01	2PT  
+6.902025E-01	+5.795126E-03	+1.037988E+01	2PT  
+7.001816E-01	+6.175347E-03	+1.025586E+01	2PT  
+7.101694E-01	+6.562413E-03	+1.013379E+01	2PT  
+7.201437E-01	+6.956238E-03	+1.001074E+01	2PT  
+7.301400E-01	+7.358044E-03	+9.886719E+00	2PT  
+7.401602E-01	+7.763071E-03	+9.765625E+00	2PT  
+7.501388E-01	+8.176297E-03	+9.639648E+00	2PT  
+7.601234E-01	+8.592091E-03	+9.516602E+00	2PT  
+7.701032E-01	+9.012337E-03	+9.392578E+00	2PT  
+7.800907E-01	+9.433683E-03	+9.269531E+00	2PT  
+7.900975E-01	+9.846620E-03	+9.150391E+00	2PT  
+8.000705E-01	+1.031796E-02	+8.915039E+00	2PT  
+8.100525E-01	+1.076034E-02	+8.790039E+00	2PT  
+8.200355E-01	+1.120395E-02	+8.667969E+00	2PT  
+8.300193E-01	+1.165250E-02	+8.543945E+00	2PT  
+8.400431E-01	+1.210412E-02	+8.420898E+00	2PT  
+8.500574E-01	+1.255968E-02	+8.296875E+00	2PT  
