[[DESCRIPTION]]
CPB_106_SE_500nm_12_1P_2700K_1000lux_1_VN_lights off_4mWcm-2

[[ANALYSIS]]
EFF      	3.10**	%
FF        	54.8**	%
Voc      	1181.2**	mV
Jsc       	0.21**	mA/cm2
Vmax   	870.1	mV
Jmax    	0.15	mA/cm2
Isc        	1.8528E-5	A
Rsc       	3.49E+5	Ohm
Roc      	6232.4	Ohm
A          	0.09	cm2
Incd. Pwr	4.298	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001052E-01	-1.905754E-05	+1.332031E+01	2PT  
-1.901186E-01	-1.902698E-05	+1.325195E+01	2PT  
-1.801359E-01	-1.903253E-05	+1.316699E+01	2PT  
-1.701519E-01	-1.905948E-05	+1.309082E+01	2PT  
-1.601708E-01	-1.895668E-05	+1.302539E+01	2PT  
-1.501595E-01	-1.904384E-05	+1.294629E+01	2PT  
-1.401707E-01	-1.896240E-05	+1.287695E+01	2PT  
-1.301707E-01	-1.892576E-05	+1.280469E+01	2PT  
-1.201646E-01	-1.885794E-05	+1.273926E+01	2PT  
-1.101691E-01	-1.887837E-05	+1.265527E+01	2PT  
-1.001300E-01	-1.889964E-05	+1.258594E+01	2PT  
-9.012085E-02	-1.876717E-05	+1.251465E+01	2PT  
-8.012118E-02	-1.887657E-05	+1.243359E+01	2PT  
-7.011080E-02	-1.883588E-05	+1.236816E+01	2PT  
-6.009525E-02	-1.877251E-05	+1.229004E+01	2PT  
-5.008111E-02	-1.883593E-05	+1.221582E+01	2PT  
-4.043400E-02	-1.867377E-05	+1.214844E+01	2PT  
-3.007369E-02	-1.868642E-05	+1.206934E+01	2PT  
-2.008324E-02	-1.851934E-05	+1.201465E+01	2PT  
-1.003047E-02	-1.855129E-05	+1.192773E+01	2PT  
+8.152635E-05	-1.852760E-05	+1.185742E+01	2PT  
+9.724263E-03	-1.860896E-05	+1.177930E+01	2PT  
+1.974941E-02	-1.862239E-05	+1.170410E+01	2PT  
+3.009382E-02	-1.850114E-05	+1.163770E+01	2PT  
+4.013726E-02	-1.849651E-05	+1.155957E+01	2PT  
+5.013590E-02	-1.835172E-05	+1.150293E+01	2PT  
+6.013691E-02	-1.838723E-05	+1.141992E+01	2PT  
+7.012944E-02	-1.837411E-05	+1.134570E+01	2PT  
+8.014260E-02	-1.832683E-05	+1.126855E+01	2PT  
+9.017085E-02	-1.824718E-05	+1.120117E+01	2PT  
+9.979691E-02	-1.829541E-05	+1.112305E+01	2PT  
+1.101879E-01	-1.824719E-05	+1.105078E+01	2PT  
+1.201908E-01	-1.829669E-05	+1.097266E+01	2PT  
+1.301785E-01	-1.820303E-05	+1.090430E+01	2PT  
+1.402025E-01	-1.824824E-05	+1.082520E+01	2PT  
+1.501879E-01	-1.818809E-05	+1.075684E+01	2PT  
+1.601731E-01	-1.824123E-05	+1.067871E+01	2PT  
+1.701552E-01	-1.814738E-05	+1.061035E+01	2PT  
+1.801503E-01	-1.817015E-05	+1.053125E+01	2PT  
+1.901670E-01	-1.817880E-05	+1.045898E+01	2PT  
+2.001417E-01	-1.816009E-05	+1.038477E+01	2PT  
+2.101270E-01	-1.809538E-05	+1.031641E+01	2PT  
+2.197311E-01	-1.802694E-05	+1.023730E+01	2PT  
+2.300854E-01	-1.815794E-05	+1.016016E+01	2PT  
+2.401039E-01	-1.805217E-05	+1.009375E+01	2PT  
+2.500830E-01	-1.802220E-05	+1.001465E+01	2PT  
+2.600685E-01	-1.782234E-05	+9.960938E+00	2PT  
+2.700431E-01	-1.792452E-05	+9.871094E+00	2PT  
+2.800549E-01	-1.781194E-05	+9.803711E+00	2PT  
+2.900849E-01	-1.771709E-05	+9.733398E+00	2PT  
+3.000985E-01	-1.768884E-05	+9.658203E+00	2PT  
+3.101012E-01	-1.767589E-05	+9.581055E+00	2PT  
+3.201053E-01	-1.768444E-05	+9.504883E+00	2PT  
+3.301093E-01	-1.756253E-05	+9.438477E+00	2PT  
+3.401513E-01	-1.759886E-05	+9.360352E+00	2PT  
+3.501411E-01	-1.741360E-05	+9.298828E+00	2PT  
+3.601443E-01	-1.738160E-05	+9.219727E+00	2PT  
+3.700531E-01	-1.750098E-05	+9.142578E+00	2PT  
+3.801520E-01	-1.732225E-05	+9.080078E+00	2PT  
+3.901943E-01	-1.723686E-05	+9.001953E+00	2PT  
+4.001863E-01	-1.710956E-05	+8.941406E+00	2PT  
+4.101901E-01	-1.716542E-05	+8.858398E+00	2PT  
+4.201908E-01	-1.706624E-05	+8.789063E+00	2PT  
+4.301679E-01	-1.707083E-05	+8.709961E+00	2PT  
+4.401805E-01	-1.691934E-05	+8.643555E+00	2PT  
+4.501756E-01	-1.697248E-05	+8.564453E+00	2PT  
+4.601553E-01	-1.685267E-05	+8.495117E+00	2PT  
+4.701310E-01	-1.685210E-05	+8.417969E+00	2PT  
