[[DESCRIPTION]]
CPB_106_SE_500nm_12_1P_2700K_200lux_1_VN_lights off

[[ANALYSIS]]
EFF      	2.51**	%
FF        	51.8**	%
Voc      	1150.5**	mV
Jsc       	0.09**	mA/cm2
Vmax   	850.1	mV
Jmax    	0.06	mA/cm2
Isc        	7.7462E-6	A
Rsc       	3.785E+6	Ohm
Roc      	12703	Ohm
A          	0.09	cm2
Incd. Pwr	2.048	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001113E-01	-8.002559E-06	+1.326270E+01	2PT  
-1.901360E-01	-7.989185E-06	+1.318652E+01	2PT  
-1.801170E-01	-7.933197E-06	+1.311914E+01	2PT  
-1.701612E-01	-7.902029E-06	+1.304883E+01	2PT  
-1.601724E-01	-7.887458E-06	+1.298047E+01	2PT  
-1.501648E-01	-7.917038E-06	+1.289063E+01	2PT  
-1.401720E-01	-7.950807E-06	+1.281934E+01	2PT  
-1.301815E-01	-7.925091E-06	+1.274316E+01	2PT  
-1.201824E-01	-7.874351E-06	+1.268066E+01	2PT  
-1.101809E-01	-7.855056E-06	+1.260156E+01	2PT  
-1.001359E-01	-7.868203E-06	+1.253418E+01	2PT  
-9.012518E-02	-7.893805E-06	+1.244922E+01	2PT  
-8.013118E-02	-7.828782E-06	+1.238672E+01	2PT  
-7.013997E-02	-7.819499E-06	+1.230762E+01	2PT  
-6.009817E-02	-7.874120E-06	+1.222754E+01	2PT  
-5.009221E-02	-7.841284E-06	+1.216113E+01	2PT  
-4.009081E-02	-7.857009E-06	+1.208789E+01	2PT  
-3.008431E-02	-7.741090E-06	+1.203320E+01	2PT  
-2.009663E-02	-7.782222E-06	+1.194238E+01	2PT  
-1.004468E-02	-7.738121E-06	+1.188086E+01	2PT  
-3.092873E-04	-7.746306E-06	+1.179688E+01	2PT  
+1.008168E-02	-7.744165E-06	+1.172461E+01	2PT  
+2.009113E-02	-7.724669E-06	+1.164648E+01	2PT  
+3.010307E-02	-7.772732E-06	+1.157422E+01	2PT  
+4.012324E-02	-7.764230E-06	+1.149805E+01	2PT  
+5.011924E-02	-7.657722E-06	+1.143848E+01	2PT  
+6.011716E-02	-7.645041E-06	+1.135840E+01	2PT  
+7.011736E-02	-7.712752E-06	+1.127539E+01	2PT  
+8.013369E-02	-7.637985E-06	+1.120898E+01	2PT  
+9.016380E-02	-7.667584E-06	+1.113867E+01	2PT  
+1.001774E-01	-7.633847E-06	+1.108203E+01	2PT  
+1.101602E-01	-7.629518E-06	+1.099219E+01	2PT  
+1.201602E-01	-7.590274E-06	+1.092090E+01	2PT  
+1.301761E-01	-7.584553E-06	+1.084570E+01	2PT  
