[[DESCRIPTION]]
CPB_106_SE_500nm_12_1P_4000K_1000lux_1_VN

[[ANALYSIS]]
EFF      	4.06	%
FF        	57.8	%
Voc      	1197.6	mV
Jsc       	0.22	mA/cm2
Vmax   	950.2	mV
Jmax    	0.16	mA/cm2
Isc        	1.967092E-5	A
Rsc       	92945	Ohm
Roc      	5685.9	Ohm
A          	0.09	cm2
Incd. Pwr	3.725	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001028E-01	-1.985644E-05	+1.334570E+01	2PT  
-1.901183E-01	-1.983139E-05	+1.326855E+01	2PT  
-1.800936E-01	-1.992260E-05	+1.319629E+01	2PT  
-1.701473E-01	-2.005900E-05	+1.313086E+01	2PT  
-1.601726E-01	-2.009192E-05	+1.305273E+01	2PT  
-1.501572E-01	-1.971841E-05	+1.299121E+01	2PT  
-1.401669E-01	-1.977037E-05	+1.290820E+01	2PT  
-1.305263E-01	-1.977971E-05	+1.283984E+01	2PT  
-1.201617E-01	-1.984916E-05	+1.276855E+01	2PT  
-1.101639E-01	-1.977906E-05	+1.268750E+01	2PT  
-1.001261E-01	-2.016237E-05	+1.262012E+01	2PT  
-9.012811E-02	-1.993657E-05	+1.254199E+01	2PT  
-8.012528E-02	-2.010971E-05	+1.246973E+01	2PT  
-7.012484E-02	-1.961610E-05	+1.240527E+01	2PT  
-6.008596E-02	-1.962235E-05	+1.232715E+01	2PT  
-5.008150E-02	-1.956039E-05	+1.226270E+01	2PT  
-4.007753E-02	-2.002059E-05	+1.218164E+01	2PT  
-3.008628E-02	-1.958969E-05	+1.211035E+01	2PT  
-2.007512E-02	-1.966112E-05	+1.203320E+01	2PT  
-1.004130E-02	-1.967479E-05	+1.197363E+01	2PT  
+7.236164E-05	-1.967089E-05	+1.189453E+01	2PT  
+1.008512E-02	-1.945591E-05	+1.182715E+01	2PT  
+2.008374E-02	-1.953673E-05	+1.174219E+01	2PT  
+2.971484E-02	-1.982055E-05	+1.166992E+01	2PT  
+3.978191E-02	-1.967928E-05	+1.159277E+01	2PT  
+5.013546E-02	-1.949032E-05	+1.152441E+01	2PT  
+6.012651E-02	-1.946190E-05	+1.145312E+01	2PT  
+7.012840E-02	-1.939875E-05	+1.137891E+01	2PT  
+8.013216E-02	-1.945060E-05	+1.129492E+01	2PT  
+9.014817E-02	-1.931460E-05	+1.123438E+01	2PT  
+1.001717E-01	-1.943651E-05	+1.115430E+01	2PT  
+1.101911E-01	-1.981297E-05	+1.108203E+01	2PT  
+1.201730E-01	-1.962612E-05	+1.100488E+01	2PT  
+1.301809E-01	-1.986197E-05	+1.092871E+01	2PT  
+1.402089E-01	-1.979571E-05	+1.086230E+01	2PT  
+1.501930E-01	-1.926986E-05	+1.079102E+01	2PT  
+1.601445E-01	-1.964179E-05	+1.072266E+01	2PT  
+1.701516E-01	-1.947989E-05	+1.065234E+01	2PT  
+1.801458E-01	-1.920989E-05	+1.057422E+01	2PT  
+1.901645E-01	-1.933178E-05	+1.049023E+01	2PT  
+2.001371E-01	-1.924028E-05	+1.041895E+01	2PT  
+2.101183E-01	-1.957207E-05	+1.035254E+01	2PT  
+2.201066E-01	-1.932742E-05	+1.028027E+01	2PT  
+2.300802E-01	-1.950320E-05	+1.021777E+01	2PT  
+2.401202E-01	-1.955638E-05	+1.013379E+01	2PT  
+2.500818E-01	-1.933574E-05	+1.005664E+01	2PT  
+2.600923E-01	-1.954394E-05	+9.991211E+00	2PT  
+2.700550E-01	-1.953356E-05	+9.915039E+00	2PT  
+2.796726E-01	-1.940687E-05	+9.847656E+00	2PT  
+2.900745E-01	-1.888419E-05	+9.775391E+00	2PT  
+3.000885E-01	-1.911817E-05	+9.693359E+00	2PT  
+3.101000E-01	-1.897207E-05	+9.627930E+00	2PT  
+3.200897E-01	-1.883542E-05	+9.557617E+00	2PT  
+3.300052E-01	-1.933875E-05	+9.480469E+00	2PT  
+3.401456E-01	-1.872313E-05	+9.416016E+00	2PT  
+3.501389E-01	-1.870325E-05	+9.339844E+00	2PT  
+3.601235E-01	-1.879470E-05	+9.263672E+00	2PT  
+3.701384E-01	-1.869503E-05	+9.199219E+00	2PT  
+3.801472E-01	-1.877896E-05	+9.120117E+00	2PT  
+3.900824E-01	-1.862650E-05	+9.048828E+00	2PT  
+4.001919E-01	-1.860300E-05	+8.983398E+00	2PT  
+4.101854E-01	-1.852342E-05	+8.906250E+00	2PT  
+4.201600E-01	-1.847424E-05	+8.829102E+00	2PT  
+4.301672E-01	-1.848475E-05	+8.764648E+00	2PT  
+4.401782E-01	-1.836689E-05	+8.686523E+00	2PT  
+4.501392E-01	-1.830642E-05	+8.618164E+00	2PT  
+4.601212E-01	-1.822154E-05	+8.542969E+00	2PT  
+4.701016E-01	-1.821308E-05	+8.468750E+00	2PT  
+4.801172E-01	-1.828074E-05	+8.391602E+00	2PT  
+4.901097E-01	-1.856871E-05	+8.324219E+00	2PT  
+4.999809E-01	-1.807796E-05	+8.250000E+00	2PT  
+5.100822E-01	-1.828570E-05	+8.173828E+00	2PT  
+5.201077E-01	-1.829514E-05	+8.106445E+00	2PT  
+5.300570E-01	-1.827330E-05	+8.028320E+00	2PT  
+5.397201E-01	-1.781318E-05	+7.965820E+00	2PT  
+5.500705E-01	-1.777603E-05	+7.886719E+00	2PT  
+5.600536E-01	-1.770051E-05	+7.825195E+00	2PT  
+5.700415E-01	-1.774387E-05	+7.737305E+00	2PT  
+5.800686E-01	-1.759601E-05	+7.670898E+00	2PT  
+5.901222E-01	-1.781031E-05	+7.590820E+00	2PT  
+6.001280E-01	-1.764830E-05	+7.524414E+00	2PT  
+6.101191E-01	-1.757381E-05	+7.455078E+00	2PT  
+6.201435E-01	-1.732921E-05	+7.385742E+00	2PT  
+6.301118E-01	-1.785477E-05	+7.298828E+00	2PT  
+6.401542E-01	-1.773834E-05	+7.224609E+00	2PT  
+6.501594E-01	-1.728436E-05	+7.157227E+00	2PT  
+6.601626E-01	-1.714237E-05	+7.083008E+00	2PT  
+6.701683E-01	-1.728496E-05	+7.022461E+00	2PT  
+6.801860E-01	-1.700062E-05	+6.939453E+00	2PT  
+6.902150E-01	-1.722665E-05	+6.870117E+00	2PT  
+7.001882E-01	-1.680392E-05	+6.797852E+00	2PT  
+7.101856E-01	-1.672905E-05	+6.722656E+00	2PT  
+7.201429E-01	-1.695288E-05	+6.650391E+00	2PT  
+7.301419E-01	-1.662979E-05	+6.582031E+00	2PT  
+7.401767E-01	-1.697099E-05	+6.500977E+00	2PT  
+7.501411E-01	-1.643225E-05	+6.426758E+00	2PT  
+7.601293E-01	-1.644646E-05	+6.355469E+00	2PT  
+7.701027E-01	-1.630463E-05	+6.291016E+00	2PT  
+7.800858E-01	-1.626127E-05	+6.211914E+00	2PT  
