[[DESCRIPTION]]
CPB_106_SE_500nm_12_1P_A1.5G_VN

[[ANALYSIS]]
EFF      	2.67	%
FF        	53.3	%
Voc      	1233.5	mV
Jsc       	4.07	mA/cm2
Vmax   	880.1	mV
Jmax    	3.04	mA/cm2
Isc        	0.000366	A
Rsc       	9601	Ohm
Roc      	281.12	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.004912E-01	-3.725314E-04	+1.314844E+01	2PT  
-1.901263E-01	-3.727360E-04	+1.306836E+01	2PT  
-1.801451E-01	-3.717098E-04	+1.300195E+01	2PT  
-1.701669E-01	-3.719317E-04	+1.292383E+01	2PT  
-1.601738E-01	-3.704971E-04	+1.286035E+01	2PT  
-1.501541E-01	-3.701282E-04	+1.278418E+01	2PT  
-1.401686E-01	-3.704319E-04	+1.270801E+01	2PT  
-1.301830E-01	-3.707553E-04	+1.262891E+01	2PT  
-1.201717E-01	-3.690147E-04	+1.256641E+01	2PT  
-1.101731E-01	-3.701382E-04	+1.248047E+01	2PT  
-1.001373E-01	-3.702279E-04	+1.240723E+01	2PT  
-9.013034E-02	-3.687193E-04	+1.234082E+01	2PT  
-8.012847E-02	-3.689451E-04	+1.226074E+01	2PT  
-7.012151E-02	-3.682166E-04	+1.219141E+01	2PT  
-6.009360E-02	-3.677799E-04	+1.211816E+01	2PT  
-5.043056E-02	-3.671218E-04	+1.204883E+01	2PT  
-4.008631E-02	-3.677237E-04	+1.196777E+01	2PT  
-3.008468E-02	-3.659110E-04	+1.190430E+01	2PT  
-2.007850E-02	-3.653347E-04	+1.183105E+01	2PT  
-1.004133E-02	-3.656069E-04	+1.175391E+01	2PT  
+6.902911E-05	-3.659010E-04	+1.167480E+01	2PT  
+1.007849E-02	-3.634835E-04	+1.162207E+01	2PT  
+2.007804E-02	-3.651687E-04	+1.152832E+01	2PT  
+3.007650E-02	-3.641613E-04	+1.146387E+01	2PT  
+4.011936E-02	-3.627753E-04	+1.139355E+01	2PT  
+5.012147E-02	-3.637899E-04	+1.131250E+01	2PT  
+6.010541E-02	-3.639996E-04	+1.123340E+01	2PT  
+7.011236E-02	-3.642342E-04	+1.115820E+01	2PT  
+8.012284E-02	-3.626672E-04	+1.109375E+01	2PT  
+9.015989E-02	-3.632584E-04	+1.101465E+01	2PT  
+1.001556E-01	-3.618133E-04	+1.095020E+01	2PT  
+1.101759E-01	-3.601087E-04	+1.088672E+01	2PT  
+1.201664E-01	-3.587329E-04	+1.082227E+01	2PT  
+1.301701E-01	-3.612274E-04	+1.072461E+01	2PT  
+1.401882E-01	-3.591667E-04	+1.066602E+01	2PT  
+1.501811E-01	-3.599107E-04	+1.058105E+01	2PT  
+1.601661E-01	-3.598639E-04	+1.050488E+01	2PT  
+1.701434E-01	-3.579959E-04	+1.044141E+01	2PT  
+1.801285E-01	-3.589354E-04	+1.036133E+01	2PT  
+1.901388E-01	-3.564666E-04	+1.030371E+01	2PT  
+2.001217E-01	-3.566913E-04	+1.022363E+01	2PT  
+2.101043E-01	-3.578574E-04	+1.014063E+01	2PT  
+2.200895E-01	-3.563989E-04	+1.007520E+01	2PT  
+2.300712E-01	-3.559803E-04	+1.000098E+01	2PT  
+2.400877E-01	-3.554517E-04	+9.928711E+00	2PT  
+2.500776E-01	-3.554864E-04	+9.851563E+00	2PT  
+2.600439E-01	-3.543634E-04	+9.782227E+00	2PT  
+2.700431E-01	-3.534694E-04	+9.710938E+00	2PT  
+2.800305E-01	-3.537976E-04	+9.633789E+00	2PT  
+2.900668E-01	-3.524970E-04	+9.566406E+00	2PT  
+3.000852E-01	-3.521510E-04	+9.492188E+00	2PT  
+3.100810E-01	-3.512811E-04	+9.422852E+00	2PT  
+3.200005E-01	-3.505872E-04	+9.347656E+00	2PT  
+3.297225E-01	-3.490979E-04	+9.279297E+00	2PT  
+3.401265E-01	-3.493674E-04	+9.201172E+00	2PT  
+3.501226E-01	-3.480969E-04	+9.131836E+00	2PT  
+3.601221E-01	-3.483247E-04	+9.053711E+00	2PT  
+3.701296E-01	-3.452129E-04	+8.998047E+00	2PT  
+3.801237E-01	-3.463285E-04	+8.909180E+00	2PT  
+3.901706E-01	-3.450911E-04	+8.839844E+00	2PT  
+4.001748E-01	-3.448662E-04	+8.761719E+00	2PT  
+4.101765E-01	-3.432119E-04	+8.693359E+00	2PT  
+4.198173E-01	-3.435547E-04	+8.613281E+00	2PT  
+4.301448E-01	-3.428155E-04	+8.541016E+00	2PT  
+4.401675E-01	-3.412707E-04	+8.470703E+00	2PT  
+4.501489E-01	-3.399666E-04	+8.400391E+00	2PT  
+4.597681E-01	-3.397178E-04	+8.322266E+00	2PT  
+4.701222E-01	-3.399681E-04	+8.245117E+00	2PT  
+4.801064E-01	-3.383740E-04	+8.177734E+00	2PT  
+4.901142E-01	-3.382606E-04	+8.099609E+00	2PT  
+5.001025E-01	-3.352990E-04	+8.038086E+00	2PT  
+5.100765E-01	-3.332457E-04	+7.969727E+00	2PT  
+5.200659E-01	-3.325214E-04	+7.895508E+00	2PT  
+5.300428E-01	-3.314155E-04	+7.820313E+00	2PT  
+5.400680E-01	-3.312668E-04	+7.742188E+00	2PT  
+5.500451E-01	-3.307839E-04	+7.663086E+00	2PT  
+5.600591E-01	-3.294657E-04	+7.591797E+00	2PT  
+5.700550E-01	-3.283434E-04	+7.517578E+00	2PT  
+5.800604E-01	-3.269002E-04	+7.446289E+00	2PT  
+5.901016E-01	-3.257185E-04	+7.372070E+00	2PT  
+6.000960E-01	-3.245023E-04	+7.299805E+00	2PT  
+6.100991E-01	-3.234808E-04	+7.222656E+00	2PT  
+6.201112E-01	-3.226037E-04	+7.150391E+00	2PT  
+6.301069E-01	-3.201633E-04	+7.083008E+00	2PT  
+6.401367E-01	-3.187841E-04	+7.007813E+00	2PT  
+6.501448E-01	-3.159720E-04	+6.944336E+00	2PT  
+6.601541E-01	-3.166641E-04	+6.858398E+00	2PT  
+6.701528E-01	-3.136938E-04	+6.793945E+00	2PT  
+6.801502E-01	-3.122802E-04	+6.718750E+00	2PT  
+6.901884E-01	-3.094367E-04	+6.654297E+00	2PT  
+7.001774E-01	-3.077004E-04	+6.576172E+00	2PT  
+7.101560E-01	-3.074831E-04	+6.498047E+00	2PT  
+7.201480E-01	-3.060030E-04	+6.422852E+00	2PT  
+7.301371E-01	-3.039993E-04	+6.351563E+00	2PT  
+7.401549E-01	-3.002429E-04	+6.287109E+00	2PT  
+7.499407E-01	-3.015413E-04	+6.198242E+00	2PT  
+7.601116E-01	-2.986487E-04	+6.129883E+00	2PT  
+7.700946E-01	-2.971378E-04	+6.054688E+00	2PT  
+7.800784E-01	-2.947313E-04	+5.984375E+00	2PT  
+7.897183E-01	-2.911508E-04	+5.919922E+00	2PT  
+8.000722E-01	-2.883106E-04	+5.851563E+00	2PT  
